종목코드,종목명,현재가,대비,등락률(%),매도호가,매수호가,거래량(주),거래대금(원),시가,고가,저가,액면가,통화구분,상장주식수(주),상장시가총액(원),총카운트
003030,세아제강지주,"52,400","-100","0.19","52,800","52,400","6,479","340,209,000","52,500","53,200","51,900","5,000",원(KRW),"4,141,657","217,022,826,800",
019440,세아특수강,"15,000","-100","0.66","15,000","14,950","7,490","112,158,500","15,000","15,100","14,950","5,000",원(KRW),"8,570,000","128,550,000,000",
058650,세아홀딩스,"97,200","800","0.83","97,200","96,700","600","58,587,900","98,200","98,200","96,600","5,000",원(KRW),"4,000,000","388,800,000,000",
013000,세우글로벌,"2,330","-70","2.92","2,330","2,325","7,672,286","18,758,847,800","2,440","2,530","2,305","500",원(KRW),"23,690,705","55,199,342,650",
091090,세원셀론텍,"3,685","-5","0.14","3,690","3,685","250,576","921,999,095","3,690","3,715","3,660","500",원(KRW),"60,990,792","224,751,068,520",
021820,세원정공,"7,520","20","0.27","7,530","7,520","2,466","18,561,170","7,500","7,600","7,500","500",원(KRW),"10,000,000","75,200,000,000",
067830,세이브존I&C,"3,810","-25","0.65","3,825","3,810","20,983","80,259,130","3,800","3,850","3,795","1,000",원(KRW),"41,040,895","156,365,809,950",
033530,세종공업,"7,870","-270","3.32","7,880","7,870","1,103,570","8,629,283,570","8,100","8,150","7,670","500",원(KRW),"21,929,424","172,584,566,880",
075580,세진중공업,"4,200","-200","4.55","4,205","4,200","546,440","2,358,399,400","4,515","4,530","4,155","500",원(KRW),"38,372,720","161,165,424,000",
027970,세하,"1,480","-20","1.33","1,480","1,475","83,770","122,943,575","1,500","1,505","1,450","1,000",원(KRW),"29,562,997","43,753,235,560",
145210,세화아이엠씨,"2,990","0","0.00","0","0","0","0","0","0","0","500",원(KRW),"29,402,067","87,912,180,330",
068270,셀트리온,"214,500","-4,500","2.05","214,500","214,000","641,157","139,150,664,500","221,000","221,500","214,000","1,000",원(KRW),"125,456,133","26,910,340,528,500",
004430,송원산업,"21,950","-50","0.23","21,950","21,900","117,268","2,570,268,450","22,000","22,200","21,650","500",원(KRW),"24,000,000","526,800,000,000",
017550,수산중공업,"1,945","15","0.78","1,945","1,940","1,518,346","2,936,461,695","1,925","1,985","1,860","500",원(KRW),"53,985,163","105,001,142,035",
002200,수출포장,"19,850","350","1.79","19,900","19,850","14,981","294,382,000","19,550","19,950","19,350","5,000",원(KRW),"4,000,000","79,400,000,000",
053210,스카이라이프,"11,350","50","0.44","11,350","11,300","36,560","414,364,400","11,300","11,400","11,200","2,500",원(KRW),"47,821,966","542,779,314,100",
134790,시디즈,"38,200","0","0.00","38,200","38,050","1,828","69,740,850","38,450","38,550","37,550","500",원(KRW),"2,000,000","76,400,000,000",
016590,신대양제지,"66,800","-600","0.89","66,900","66,800","18,955","1,270,544,900","67,000","67,800","66,100","5,000",원(KRW),"4,029,782","269,189,437,600",
029530,신도리코,"48,450","550","1.15","48,500","48,450","3,778","182,370,300","48,150","48,550","47,900","5,000",원(KRW),"10,080,029","488,377,405,050",
004970,신라교역,"14,100","100","0.71","14,100","14,000","7,535","105,361,400","13,900","14,100","13,850","500",원(KRW),"16,000,000","225,600,000,000",
011930,신성이엔지,"1,100","-35","3.08","1,105","1,100","946,342","1,048,890,070","1,120","1,140","1,090","500",원(KRW),"172,993,713","190,293,084,300",
005390,신성통상,"969","-6","0.62","969","968","137,287","132,950,179","974","974","966","500",원(KRW),"143,708,390","139,253,429,910",
004170,신세계,"272,000","7,500","2.84","272,000","271,500","86,510","23,440,557,000","266,000","273,500","266,000","5,000",원(KRW),"9,845,181","2,677,889,232,000",
035510,신세계 I&C,"123,500","-500","0.40","123,500","123,000","4,636","571,534,000","124,000","124,500","122,500","5,000",원(KRW),"1,720,000","212,420,000,000",
034300,신세계건설,"27,200","1,250","4.82","27,200","27,100","16,259","432,441,450","25,850","27,700","25,650","5,000",원(KRW),"4,000,000","108,800,000,000",
031430,신세계인터내셔날,"213,500","-2,500","1.16","214,500","213,500","31,875","6,791,007,000","216,500","216,500","210,000","5,000",원(KRW),"7,140,000","1,524,390,000,000",
031440,신세계푸드,"90,300","200","0.22","90,400","90,300","9,120","822,819,700","89,500","90,700","89,500","5,000",원(KRW),"3,872,480","349,684,944,000",
