번호,종목코드,기업명,업종코드,업종,상장주식수(주),자본금(원),액면가(원),통화구분
784,031510,오스템,033003,자동차 신품 부품 제조업,"26,000,000","13,000,000,000","500",원(KRW)
785,048260,오스템임플란트,032701,의료용 기기 제조업,"14,285,717","7,142,858,500","500",원(KRW)
786,138080,오이솔루션,032604,통신 및 방송 장비 제조업,"7,739,532","3,869,766,000","500",원(KRW)
787,080580,오킨스전자,032602,전자부품 제조업,"6,200,000","3,100,000,000","500",원(KRW)
788,067170,오텍,033004,자동차 재제조 부품 제조업,"15,391,605","7,695,802,500","500",원(KRW)
789,173130,오파스넷,106201,"컴퓨터 프로그래밍, 시스템 통합 및 관리업","4,025,902","2,012,951,000","500",원(KRW)
790,049480,오픈베이스,106201,"컴퓨터 프로그래밍, 시스템 통합 및 관리업","31,422,383","15,711,191,500","500",원(KRW)
791,226950,올릭스,137001,자연과학 및 공학 연구개발업,"6,503,921","3,251,960,500","500",원(KRW)
792,057540,옴니시스템,032702,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외","40,679,015","20,339,507,500","500",원(KRW)
793,057680,옴니텔,105802,소프트웨어 개발 및 공급업,"33,698,640","16,849,320,000","500",원(KRW)
794,123010,옵토팩,032602,전자부품 제조업,"4,987,409","2,493,704,500","500",원(KRW)
795,082210,옵트론텍,032703,사진장비 및 광학기기 제조업,"22,560,627","11,280,313,500","500",원(KRW)
796,109080,옵티시스,032604,통신 및 방송 장비 제조업,"5,636,000","2,818,000,000","500",원(KRW)
797,153710,옵티팜,032103,의료용품 및 기타 의약 관련제품 제조업,"14,217,258","7,108,629,000","500",원(KRW)
798,052770,와이디온라인,105802,소프트웨어 개발 및 공급업,"31,423,394","15,711,697,000","500",원(KRW)
799,057030,와이비엠넷,168507,교육지원 서비스업,"16,312,697","8,156,348,500","500",원(KRW)
800,122990,와이솔,032602,전자부품 제조업,"24,156,941","12,078,470,500","500",원(KRW)
801,232140,와이아이케이,032902,특수 목적용 기계 제조업,"61,788,456","6,178,845,600","100",원(KRW)
802,067900,와이엔텍,053802,폐기물 처리업,"18,199,659","9,099,829,500","500",원(KRW)
803,155650,와이엠씨,032602,전자부품 제조업,"19,974,358","9,987,179,000","500",원(KRW)
804,251370,와이엠티,032001,기초 화학물질 제조업,"7,405,200","3,702,600,000","500",원(KRW)
805,066430,와이오엠,074607,기타 전문 도매업,"11,563,534","5,781,767,000","500",원(KRW)
806,193250,와이제이엠게임즈,032602,전자부품 제조업,"45,636,595","4,563,659,500","100",원(KRW)
807,019210,와이지-원,032509,기타 금속 가공제품 제조업,"30,506,398","15,253,199,000","500",원(KRW)
808,122870,와이지엔터테인먼트,105902,오디오물 출판 및 원판 녹음업,"18,185,709","9,092,854,500","500",원(KRW)
809,079000,와토스코리아,032202,플라스틱제품 제조업,"7,200,000","3,600,000,000","500",원(KRW)
